word1,word2,count
critique,israel,12
include,israel,12
article,book,12
palestine,mandate,12
other,israel,12
highlight,how,12
policy,palestine,12
two,type,12
cultural,study,12
racial,discrimination,12
change,political,12
iran,israel,12
little,know,12
status,issue,12
armed,resistance,12
israel,place,12
other,side,12
relation,iran,12
creation,israel,12
post,world,12
lebanese,civil,12
settlement,israel,12
how,new,12
quarter,century,12
iran,saudi,12
center,middle,12
israeli,city,12
east,journal,12
territory,israel,12
study,aim,12
many,arab,12
state,well,12
war,palestine,12
conflict,1967,12
comparative,literature,12
hostility,israel,12
palestine,state,12
war,gaza,12
holy,city,12
ottoman,british,12
right,activist,12
author,examine,12
london,london,12
version,article,12
december,2018,12
